Period,Country,Area type,Area code,Area name,Sex,Life expectancy
2020 to 2022,England,Local Areas,E06000016,Leicester,Male,75.86
2020 to 2022,England,Local Areas,E06000016,Leicester,Female,80.4
2020 to 2022,England,Local Areas,E06000017,Rutland,Male,82.14
2020 to 2022,England,Local Areas,E06000017,Rutland,Female,84.5
2020 to 2022,England,Local Areas,E06000018,Nottingham,Male,75.83
2020 to 2022,England,Local Areas,E06000018,Nottingham,Female,80.54
2020 to 2022,England,Local Areas,E06000019,"Herefordshire, County of",Male,79.96
2020 to 2022,England,Local Areas,E06000019,"Herefordshire, County of",Female,83.41
2020 to 2022,England,Local Areas,E06000020,Telford and Wrekin,Male,77.97
2020 to 2022,England,Local Areas,E06000020,Telford and Wrekin,Female,82.06
2020 to 2022,England,Local Areas,E06000021,Stoke-on-Trent,Male,75.55
2020 to 2022,England,Local Areas,E06000021,Stoke-on-Trent,Female,79.86
2020 to 2022,England,Local Areas,E06000022,Bath and North East Somerset,Male,80.97
2020 to 2022,England,Local Areas,E06000022,Bath and North East Somerset,Female,84.75
2020 to 2022,England,Local Areas,E06000023,"Bristol, City of",Male,78.16
2020 to 2022,England,Local Areas,E06000023,"Bristol, City of",Female,82.63
2020 to 2022,England,Local Areas,E06000024,North Somerset,Male,80.61
2020 to 2022,England,Local Areas,E06000024,North Somerset,Female,83.92
2020 to 2022,England,Local Areas,E06000025,South Gloucestershire,Male,81.03
2020 to 2022,England,Local Areas,E06000025,South Gloucestershire,Female,84.62
2020 to 2022,England,Local Areas,E06000026,Plymouth,Male,78.44
2020 to 2022,England,Local Areas,E06000026,Plymouth,Female,82.27
2020 to 2022,England,Local Areas,E06000027,Torbay,Male,78.04
2020 to 2022,England,Local Areas,E06000027,Torbay,Female,82.93
2020 to 2022,England,Local Areas,E06000030,Swindon,Male,79.25
2020 to 2022,England,Local Areas,E06000030,Swindon,Female,83.44
2020 to 2022,England,Local Areas,E06000031,Peterborough,Male,77.97
2020 to 2022,England,Local Areas,E06000031,Peterborough,Female,81.81
2020 to 2022,England,Local Areas,E06000032,Luton,Male,76.95
2020 to 2022,England,Local Areas,E06000032,Luton,Female,81.28
2020 to 2022,England,Local Areas,E06000033,Southend-on-Sea,Male,78.01
2020 to 2022,England,Local Areas,E06000033,Southend-on-Sea,Female,82.35
2020 to 2022,England,Local Areas,E06000034,Thurrock,Male,77.14
2020 to 2022,England,Local Areas,E06000034,Thurrock,Female,82.03
2020 to 2022,England,Local Areas,E06000035,Medway,Male,77.64
2020 to 2022,England,Local Areas,E06000035,Medway,Female,81.93
2020 to 2022,England,Local Areas,E06000036,Bracknell Forest,Male,81.07
2020 to 2022,England,Local Areas,E06000036,Bracknell Forest,Female,84.32
2020 to 2022,England,Local Areas,E06000037,West Berkshire,Male,81.01
2020 to 2022,England,Local Areas,E06000037,West Berkshire,Female,84.56
2020 to 2022,England,Local Areas,E06000038,Reading,Male,78
2020 to 2022,England,Local Areas,E06000038,Reading,Female,82.68
2020 to 2022,England,Local Areas,E06000039,Slough,Male,76.87
2020 to 2022,England,Local Areas,E06000039,Slough,Female,81.68
2020 to 2022,England,Local Areas,E06000040,Windsor and Maidenhead,Male,81.18
2020 to 2022,England,Local Areas,E06000040,Windsor and Maidenhead,Female,84.8
2020 to 2022,England,Local Areas,E06000041,Wokingham,Male,82.54
2020 to 2022,England,Local Areas,E06000041,Wokingham,Female,85.28
2020 to 2022,England,Local Areas,E06000042,Milton Keynes,Male,79.18
2020 to 2022,England,Local Areas,E06000042,Milton Keynes,Female,82.5
2020 to 2022,England,Local Areas,E06000043,Brighton and Hove,Male,78.75
2020 to 2022,England,Local Areas,E06000043,Brighton and Hove,Female,83.08
2020 to 2022,England,Local Areas,E06000044,Portsmouth,Male,77.65
2020 to 2022,England,Local Areas,E06000044,Portsmouth,Female,82.34
2020 to 2022,England,Local Areas,E06000045,Southampton,Male,77.8
2020 to 2022,England,Local Areas,E06000045,Southampton,Female,82.38
2020 to 2022,England,Local Areas,E06000046,Isle of Wight,Male,79.1
2020 to 2022,England,Local Areas,E06000046,Isle of Wight,Female,83.23
